id1,text1,id2,text2,text_similarity_score,entity_similarity_score,date_difference,pair_id,label,confidence,needs_human_review,evaluator_verdict
nifty_1173,FedEx Earnings: What to Watch,nifty_1324,FedEx Earnings: What to Watch,1.0000008,1.0,279,6cb8c05a69e3f1223310320f2d67b84f,True,5,False,
nifty_746,"Early Morning Insight: CONSOL Energy Inc., Teck Resources Ltd, BHP Billiton PLC, and Paramount Gold and Silver Corp.",nifty_759,"Early Morning Insight: CONSOL Energy Inc., Teck Resources Ltd, BHP Billiton PLC, and Paramount Gold and Silver Corp.",1.0000006,1.0,22,6aac1e53278d856b3d4535e069400593,True,5,False,
nifty_976,FedEx Earnings: What to Watch,nifty_1324,FedEx Earnings: What to Watch,1.0000006,1.0,644,6cb8c05a69e3f1223310320f2d67b84f,True,5,False,
nifty_1220,FedEx Earnings: What to Watch,nifty_1324,FedEx Earnings: What to Watch,1.0000006,1.0,189,6cb8c05a69e3f1223310320f2d67b84f,True,5,False,
nifty_1274,FedEx Earnings: What to Watch,nifty_1324,FedEx Earnings: What to Watch,1.0000006,1.0,91,6cb8c05a69e3f1223310320f2d67b84f,True,5,False,
nifty_976,FedEx Earnings: What to Watch,nifty_1173,FedEx Earnings: What to Watch,1.0000005,1.0,365,6cb8c05a69e3f1223310320f2d67b84f,True,5,False,
nifty_1173,FedEx Earnings: What to Watch,nifty_1220,FedEx Earnings: What to Watch,1.0000005,1.0,90,6cb8c05a69e3f1223310320f2d67b84f,True,5,False,
nifty_1173,FedEx Earnings: What to Watch,nifty_1274,FedEx Earnings: What to Watch,1.0000005,1.0,188,6cb8c05a69e3f1223310320f2d67b84f,True,5,False,
nifty_134,"Zacks Earnings Trends Highlights: Johnson & Johnson, Chevron and DuPont",nifty_141,"Zacks Earnings Trends Highlights: Johnson & Johnson, Chevron and DuPont",1.0000004,1.0,13,6c49f4185038ce0f84c7098bd977fa7e,True,5,False,
nifty_193,"Zacks Analyst Blog Highlights: ExxonMobil, Chevron, ConocoPhillips, Valero and Tesoro",nifty_244,"Zacks Analyst Blog Highlights: ExxonMobil, Chevron, ConocoPhillips, Valero and Tesoro",1.0000004,1.0,92,611f876558dab3125717da9aa8812b72,True,5,False,
nifty_227,"Zacks Analyst Blog Highlights: ExxonMobil, Chevron, ConocoPhillips, Valero and Tesoro",nifty_244,"Zacks Analyst Blog Highlights: ExxonMobil, Chevron, ConocoPhillips, Valero and Tesoro",1.0000004,1.0,29,611f876558dab3125717da9aa8812b72,True,5,False,
nifty_534,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector,nifty_583,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector,1.0000004,1.0,92,c4bb4ecb7d1b36571d8d82dec255f291,True,5,False,
nifty_534,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector,nifty_769,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector,1.0000004,1.0,439,c4bb4ecb7d1b36571d8d82dec255f291,True,5,False,
nifty_534,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector,nifty_926,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector,1.0000004,1.0,734,c4bb4ecb7d1b36571d8d82dec255f291,True,5,False,
nifty_583,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector,nifty_926,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector,1.0000004,1.0,642,c4bb4ecb7d1b36571d8d82dec255f291,True,5,False,
nifty_769,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector,nifty_926,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector,1.0000004,1.0,295,c4bb4ecb7d1b36571d8d82dec255f291,True,5,False,
nifty_810,Philip Morris International Inc. Presents at the Consumer Analyst Group of New York (CAGNY) Conference,nifty_1008,Philip Morris International Inc. Presents at the Consumer Analyst Group of New York (CAGNY) Conference,1.0000004,1.0,366,c43aff4674da251b2c83739ad5a3abdd,True,5,False,
nifty_976,FedEx Earnings: What to Watch,nifty_1220,FedEx Earnings: What to Watch,1.0000004,1.0,455,6cb8c05a69e3f1223310320f2d67b84f,True,5,False,
nifty_976,FedEx Earnings: What to Watch,nifty_1274,FedEx Earnings: What to Watch,1.0000004,1.0,553,6cb8c05a69e3f1223310320f2d67b84f,True,5,False,
nifty_1220,FedEx Earnings: What to Watch,nifty_1274,FedEx Earnings: What to Watch,1.0000004,1.0,98,6cb8c05a69e3f1223310320f2d67b84f,True,5,False,
