Topic,Count,Name,Representation,Representative_Docs
0,6685,0_security_cloud_cyber_computing,"['security', 'cloud', 'cyber', 'computing', 'big data', 'analytics', 'enterprise', 'cloud computing', 'cyber security', 'cybersecurity']","['centrify partners with leading cloud access security brokers to enhance cloud security for saas applications', 'national cyber security alliance launches web portal for 2010 national cyber security awareness month', 'the top cyber security journalists of 2014']"
1,5940,1_present_conference_investor_investor conference,"['present', 'conference', 'investor', 'investor conference', 'conferences', 'investor conferences', 'present investor', 'participate', 'investor day', 'investment conference']","['powerwave to present at upcoming investor conferences', 'cyren to present at upcoming investor conferences', 'hospira to present at upcoming investor conferences']"
2,4666,2_analyst_technical_updates_notes,"['analyst', 'technical', 'updates', 'notes', 'stock price', 'equities', 'appointments', 'movements', 'dividends', 'motor']","['stock price updates, earnings schedules, financial results releases, and trade-in offers - analyst notes on chipotle, ctrip, liberty, moody and best buy', 'xerium announces analyst coverage initiated by r.w. pressprich & co.', 'mkm partners hires director of research banks analyst and semiconductor analyst']"
3,4302,3_officer_appoints_chief_chief officer,"['officer', 'appoints', 'chief', 'chief officer', 'names', 'president', 'vice president', 'vice', 'cfo', 'names new']","['xhibit corp. announces new chief financial officer and senior vice president', 'motricity appoints nathan fong as chief financial officer', 'flare industries announces new vice president and chief financial officer']"
4,3796,4_boeing_air_airlines_jet,"['boeing', 'air', 'airlines', 'jet', 'delta', 'airline', 'virgin', 'lockheed', 'airways', 'southwest']","['boeing can t make case for revamping 757 jet', 'leidos names boeing krone ceo', 'boeing sets jet record in 2014']"
5,3286,5_ecb_eurozone_zone_euro zone,"['ecb', 'eurozone', 'zone', 'euro zone', 'draghi', 'eu', 'euro', 'crisis', 'europe', 'inflation']","['ecb signals may buy euro zone bonds', 'data underline banks dependency on ecb', 'markets may flare again without fed and ecb hoses']"
6,3059,6_holding company_holding_notice_company,"['holding company', 'holding', 'notice', 'company', 'statement', 'fin', 'yearly', 'admission', 'trading', 'final']","['reg - cobham plc - holding in company', 'reg - neovia financial plc - holding in company', 'reg - conygar investmnt co - holding in company']"
7,2879,7_fed_yellen_rate_bullard,"['fed', 'yellen', 'rate', 'bullard', 'inflation', 'transcript', 'bernanke', 'fed rate', 'policy', 'rates']","['fed should give more detail on rate hike plans: williams', 'fed treads into once-taboo realm', 'the fuss around the fed']"
8,2735,8_2012 results_2011 results_fourth quarter_fourth,"['2012 results', '2011 results', 'fourth quarter', 'fourth', 'quarter 2011', 'results', 'fiscal year', 'quarter', '2010 results', 'fiscal']","['international game technology reports fourth quarter and fiscal year 2012 results', 'igo reports fourth quarter 2012 financial results', 'rpx announces fourth quarter and fiscal year 2012 financial results']"
9,2583,9_secures_series_funding_financing,"['secures', 'series', 'funding', 'financing', 'round', 'million', 'closes', 'raises', 'led', 'ventures']","['garantia data secures $9m in series a funding', 'vidyard secures $6 million in series a financing', 'prospx secures series b funding of $8 million']"
